Pais,Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
Madagascar,3,503.514533472879,30437261,63.068,36.1,21.3189737023032,64.7495,4.15609778380812,44.7,3.05272592480406,3.25023246,18.5532,40.0038395384969,30.5432948746184,5.15641113784806,2.48207836172625,23.3568161542995,2.51403030458531
Malaysia,2,11748.0919307944,34695493,75.444,100,57.871678587734,138.208,8.86182187578046,6.7,3.68689336269236,3.90591931,97.3986,69.6552296371211,76.8501886436659,2.51197686805661,1.1977720012836,39.0948343009769,0.396882023362933
Maldives,1,11786.0091545343,524106,80.76,100,2.73333333333333,136.459,13.8260895306814,5.3,11.8454763227133,9.65276241,83.9119,79.5726448524383,82.6709256667894,13,1.528878337276,9.91860129412384,0.0829967750515171
Mali,3,969.72220560562,23072640,60.035,53,10.896663634352,112.12,3.5082827896139,59,3.19776684008586,3.67284775,34.3797,35.4947308146533,26.1689671523921,6.83582065088224,3.00942592606239,24.796496641708,4.94767295509674
Malta,1,36224.2819955817,531113,82.4487804878049,100,1.4375,132.861,4.26931853012293,5,126.084087677368,9.52376747,91.5406,115.004922709663,128.410459632562,24.375,2.47100289980875,11.8960084189782,0.06334096735509
Marshall Islands,2,6322.82855503156,40077,66.725,100,52.2222222222222,39.7061,-1.11806797853311,24.3,1.0157498026835,11.73604298,64.8023,78.0176795580111,40.8176400947119,2.77777777777778,-3.16808578519291,8.49952644041042,13.5951274664562
Mauritania,3,1960.35240077424,4875637,68.281,49,0.292896963228874,109.884,6.79600510182286,32,14.6644208551054,4.48389912,34.3001,62.2880913027036,39.737807822992004,0.436596487823809,2.92956466448208,29.1375503330515,1.14343949600414
Mauritius,1,10223.7882316574,1262523,73.5146341463415,100,19.4541812719079,164.309,8.69306675264066,13.8,4.22930927251408,5.82381678,75.5,63.0954531028352,49.4893047706387,37.5563345017526,-0.301401216835277,18.1062281146272,2.12149812430337
Mexico,2,11402.1410374782,128613117,73.973,100,33.6618740193935,105.713,3.71098893117183,11.1,2.66415918311792,5.72145176,78.6322,45.8808899526489,42.9460448302063,10.580191002855,0.753116988604166,33.1372227138327,4.1908754859514
Moldova,1,5744.29618434435,2528654,71.546,100,11.7548661800487,137.183,-4.60000000000001,13.6,4.03446735088075,6.96505404,76.7412,70.8912121253156,41.2264594544499,56.7518248175182,-2.62110760462091,19.0908218110745,14.0294158168182
Mongolia,2,4993.51487463495,3433748,71.9007317073171,100,9.09849695989111,142.809,5.0327096366527,11.6,14.6053065112102,8.85170174,82.1725,71.2665787886548,65.0613511558615,0.728727263388357,1.46704738017187,35.3122175669446,2.32831928767738
Montenegro,1,9990.20444616996,623591,76.1878048780488,100,61.4869888475836,207.278,6.40668032879275,2.2,14.0062013047765,10.92241859,88.2219,74.3657429805244,51.5328616489687,0.669144981412639,-0.234174139002603,12.9653049670004,13.3253872207854
Morocco,2,3455.39624023438,37329064,75.161,100,12.9136878781089,141.87,1.52720357976111,16,1.7520598001891,5.68049145,89.9,56.320581289955,44.8118007632888,14.5113036074389,1.00863622672701,25.9113093904963,8.53017095928268
Mozambique,3,578.251663751351,32656246,63.011,33.2,46.1193311121849,45.8178,4.36445074432608,46.5,16.0042947069706,8.77717781,18.7913,85.4526356129497,49.8269428040417,7.18482158752766,2.9473431712575,23.2425949902892,0.880109212306658
Namibia,3,4349.79908493314,2889662,64.19,56.2,7.89136270330017,100.558,5.39872476224093,39.7,8.40166893779959,9.29635525,61.1485,58.8040829392834,40.4584718360428,0.971711061715799,2.77600581415178,27.1117255630616,0.648827712131453
Nepal,2,1385.91066274851,29715436,70.087,91.3,41.5907220090687,133.273,5.6313145568451,24.2,0.717813074577744,6.65589333,53.8878,42.2710106140504,6.70239086589236,12.5831880013952,0.81238557412485,12.1812284731342,53.222151934248
Netherlands,1,59123.318556487,17700982,81.6146341463415,100,11.0296673596674,115.821,5.00723455159611,3.5,1.47701805979237,10.10068321,92.5197,87.6638626713087,96.4436215813729,29.8188298188298,0.953278922854537,18.6563965305589,0.363880236566379
New Zealand,1,48760.0381935936,5117100,81.9585365853658,100,37.719363487904,115.984,3.49638686458842,4.1,3.34262941303518,10.02858067,96.1942,29.4287754464161,24.0473873191656,2.02422999506285,0.11340973410607,19.6044449752619,0.231395224021577
Nicaragua,2,2322.89053964583,6730654,74.463,86.5,26.6538972910088,104.278,3.55029945613975,10.7,8.23239650343154,8.95364857,49.1307,65.5589039770339,49.8957747358309,12.4896127638358,1.28466010240759,25.9436105960329,20.641434228789
Niger,3,609.745147661683,25311973,60.398,19.5,0.83276229572906,63.3771,11.9000000000277,68.3,6.25880834194363,4.35259724,23.2982,26.4030742164705,26.4030742164705,13.9733164916713,3.25170642220024,18.8885125171682,4.69902875821573
North Macedonia,1,7606.2375253797,1831712,74.4248780487805,100,39.7101506740682,111.303,2.75888415332967,3.6,6.13067578989693,7.6204114,85.008,93.3619578376736,72.785399542204,16.4948453608247,-0.294481335654044,23.0244680694634,3.27695424528674
Norway,1,109269.520580298,5457127,82.509756097561,100,33.4795618634529,111.657,3.24622860260932,1.9,2.39446435427431,7.94803333,99,27.1096590646452,55.4998207714937,2.20715403409559,0.898395220610608,49.1288971298146,0.105568628356321
Oman,2,23223.5829405935,4730226,77.911,100,0.00779030694668821,136.801,7.98570728354278,8.5,6.33830826925262,2.9162159,95.2453,42.4945073677033,63.2505019129513,0.266914378029079,4.98013669293962,59.4852077730217,0.0355127088147278
Pakistan,3,1538.3228133171,243700667,67.417,95,4.72605334163553,79.1051,4.7781068690358,51.8,0.389980753542853,2.90434051,24.2103,22.4907632059279,10.5405902721041,39.2149232046492,1.74799739792983,20.4125955543613,8.04928811142895
Panama,1,17332.4360742988,4400773,79.324,95,56.4978579131842,152.062,10.769665870619,11.1,3.2336759460383,8.46561432,77.7041,45.5697392628275,48.1174394920396,7.61660825020221,1.26612423517538,26.4661398264393,0.690122118815207
Paraguay,2,6205.6259537937,6760464,72.319,100,39.2502935554672,128.088,0.176038366124061,15.6,1.77482468288435,7.73804235,76.2592,39.3685204368162,34.3693845850371,11.517932578424,1.13476871860664,34.2539657600772,1.41178944682975
Peru,1,7350.63034300417,33475438,76.834,96.2,56.238047734375,124.119,2.8090335533015,13.8,4.55221582089149,6.0930872,74.675,28.4651151947746,28.8318607701975,3.06127421875,0.959183909355287,34.9314299156729,1.50805544629239
Philippines,2,3548.06930572116,113964338,69.472,94.8,24.3430593285709,147.429,7.58098212785563,22.4,2.3475097233369,5.15676308,75.2111,44.042282064966,28.3874015457939,18.7476942683704,0.760479216015364,29.2212399364338,9.40977059288243
Poland,1,18891.213529396,36821749,77.1560975609756,100,31.0594923061845,137.002,5.25545697386036,3.7,6.00626051695503,6.39626455,86.9411,60.6688166147992,62.3525162455456,36.4761998105133,-0.433070695882457,29.1814824967348,1.08739479536256
Portugal,1,24620.519556875,10434332,81.6317073170732,100,36.154994891142,122.801,6.9858417811997,2.6,5.08368926085172,10.46883011,84.4969,51.882465114233,49.4816821962014,10.1801483752085,0.697256448023043,18.4032430064626,0.631570720766204
Qatar,2,88701.463352273,2657333,81.857,100,0,162.249,4.18500970982862,5,0.0322850616403459,2.18112326,99.6528,31.6152340257357,68.5984131738821,1.82767624020888,5.90701824957099,65.3488994932063,0.437654896965699
